pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92852.94,19.86,730.5148,-0.105586,-0.032681,0.941045,5.580086,1.821632,0.784302
92856.8,19.85,730.1686,-0.203242,0.043979,1.001104,5.99779,3.167502,2.765427
92855.78,19.84,730.2611,-0.086543,0.091831,0.969365,5.16567,3.836613,4.379562
92851.28,19.82,730.6627,0.052129,0.258335,1.071416,2.16495,6.830332,6.980408
92848.67,19.78,730.8953,-0.069453,0.12894,1.041631,3.631743,6.145346,7.987137
92849.7,19.75,730.8027,0.027227,0.135776,0.984014,4.386191,4.239185,6.971191
92858.86,19.75,729.9836,-0.302363,-0.054653,0.972783,6.54083,-1.300562,6.035416
92869.81,19.76,729.006,-0.091914,-0.078091,0.843389,6.273558,2.149735,8.14769
92843.42,19.75,731.3629,-0.102656,0.070347,1.007939,8.793242,6.052397,12.13385
92837.63,19.77,731.8834,-0.160273,0.144077,0.972295,7.685634,8.153786,17.38461
92824.16,19.77,733.0857,-0.11877,0.279819,1.01917,5.076181,12.10066,21.53264
92826.28,19.75,732.8954,-0.09582,0.198276,0.956182,0.25946,13.21007,23.3373
92825.25,19.71,732.9879,-0.051387,0.194858,0.950322,-2.467255,12.36311,25.92618
92826.7,19.68,732.8585,-0.096797,0.24564,1.04749,-3.421937,10.26358,28.17238
92822.76,19.68,733.2099,-0.083125,0.16312,0.986455,-1.046115,9.060196,30.10818
92827.79,19.7,732.7607,0.042852,0.267124,0.994756,-0.237343,8.311829,31.1196
92826.83,19.7,732.8479,-0.014277,0.176792,0.951299,0.504855,10.96685,33.51752
92824.97,19.68,733.0143,-0.057246,0.152866,0.983037,1.763079,9.712242,36.09218
92824.97,19.68,733.0143,-0.134883,0.140659,0.959111,3.686532,8.453786,38.11249
92828.34,19.65,732.7131,-0.00793,0.145054,0.923467,5.937646,6.266055,38.77478
92831.5,19.63,732.4304,-0.01623,0.130405,1.022588,3.592329,5.182769,40.02489
92799.44,19.62,735.2946,-0.040645,0.004429,0.933721,-0.265442,6.100171,40.82158
92782.8,19.6,736.7822,-0.040645,0.106968,0.940068,0.153667,6.153041,41.76852
92778.09,19.59,737.205,-0.102168,0.140659,0.965947,1.104614,7.245861,42.24139
92772.36,19.57,737.7176,-0.010859,0.313511,1.034795,1.59823,10.02472,42.98093
92772.23,19.56,737.7281,0.012578,0.21439,0.961553,2.92235,10.45473,43.53638
92769.2,19.55,737.9977,-0.09582,0.198765,1.009404,3.55198,10.86042,44.73857
92769.8,19.54,737.9448,-0.098262,0.185581,0.972783,3.858971,11.71883,45.9097
92769.05,19.53,738.0135,-0.104121,0.170933,0.958623,5.960094,10.11163,46.69922
92769.38,19.53,737.9844,-0.116816,0.185581,0.972295,6.399383,10.37044,47.75797
92768.14,19.5,738.0928,-0.092891,0.186558,0.991826,5.751589,10.51167,48.87273
92767.59,19.48,738.143,-0.075801,0.230015,0.989385,5.961286,10.74201,50.589
92768.16,19.47,738.0928,-0.180781,0.075718,0.951787,8.053522,10.93627,52.06843
92762.3,19.48,738.616,-0.14123,0.158237,0.980596,8.168756,10.2687,53.19134
92768.41,19.5,738.069,-0.183223,0.132358,0.971807,10.18431,9.20344,52.71688
92766.77,19.5,738.217,-0.205684,0.112827,0.964482,10.69443,8.856094,54.48601
92762.88,19.5,738.5657,-0.229121,0.107944,0.948369,11.92541,8.069757,55.50079
92760.06,19.48,738.8168,-0.17834,0.122593,0.963018,10.12188,8.096928,56.61761
92765.53,19.47,738.3253,-0.185664,0.143101,0.998662,9.395054,7.944754,57.78983
92764.78,19.46,738.394,-0.138789,0.307163,0.991826,8.593821,8.512155,58.91074
92760.97,19.44,738.7349,-0.144648,0.153843,0.998174,5.853486,9.384404,60.93286
92761.98,19.4,738.645,-0.08166,0.12894,1.002568,6.33025,7.426596,62.55577
92762.31,19.41,738.616,-0.093867,0.123569,0.978643,5.582389,6.601789,63.65734
92762.31,19.41,738.616,-0.127559,0.158726,1.030889,6.487918,8.025197,64.22707
92765.2,19.4,738.357,-0.172969,0.214878,1.037236,7.184886,8.060527,65.28361
92762.9,19.4,738.5631,-0.11584,0.143589,0.986455,6.975503,7.282722,67.83477
92764.64,19.41,738.4072,-0.111934,0.189976,0.986455,8.138943,8.224981,71.99041
92764.94,19.41,738.3808,-0.179316,0.047886,1.008428,6.443389,6.478187,74.3131
92765.86,19.4,738.2989,-0.031855,0.079136,1.00501,3.910268,5.641757,75.36425
92766.21,19.36,738.2672,-0.143184,0.056187,0.997197,5.786674,3.844367,76.75107
92764.89,19.36,738.3834,-0.134395,0.037144,1.011357,6.388542,2.941174,77.67751
92764.89,19.36,738.3834,-0.17541,0.068394,1.059209,5.975646,3.423379,79.06724
92766.38,19.35,738.2513,-0.088984,0.118687,0.983525,7.620265,3.717175,80.54465
92766.76,19.32,738.217,-0.094355,0.179722,0.994268,6.72106,6.355899,83.20576
92768.22,19.29,738.0875,-0.169551,0.166538,0.997197,7.448307,7.815396,84.30727
92766.01,19.31,738.2857,-0.11877,0.155796,0.982549,6.50536,8.151323,86.46102
92763.88,19.29,738.476,-0.172969,0.11478,0.968877,8.83555,7.519671,87.78493
92761.81,19.28,738.6609,-0.154902,0.08353,0.969365,8.784568,5.670911,89.14417
92765.92,19.26,738.291,-0.145625,0.108433,0.969854,7.860186,5.398058,89.59444
92762.28,19.26,738.6186,-0.123164,0.08353,0.966924,7.137147,4.944119,90.04168
92764.22,19.25,738.4442,-0.17541,0.276401,1.016729,5.943871,4.612507,90.96174
92763.2,19.25,738.5367,-0.104121,0.059604,1.001592,5.303098,3.230031,92.36079
92769.33,19.24,737.9871,0.078008,0.043491,0.943975,-1.145819,4.616743,91.83314
92767.52,19.22,738.1483,-0.114863,0.108433,1.051885,1.587699,6.293518,94.41699
92768.48,19.22,738.0637,0.167363,0.27103,1.093877,4.035581,8.098065,94.12992
92771.56,19.23,737.7863,-0.151973,0.202671,1.020146,5.679513,7.027923,95.38374
92772.02,19.24,737.7466,-0.131953,0.054722,0.907354,5.127914,6.123491,97.05102
92780.98,19.25,736.946,-0.043574,0.151401,1.014287,3.372021,6.522358,98.97443
92783.33,19.26,736.7373,-0.139277,0.16605,0.944951,2.625413,5.866339,100.6206
92780.39,19.26,736.9989,-0.07873,0.172397,1.00501,2.611979,5.855965,102.2072
92778.27,19.24,737.1891,-0.020625,0.119175,0.989873,4.311919,7.536862,102.8717
92773.41,19.22,737.6225,-0.150996,0.187534,0.999639,5.588771,6.232961,104.6855
92764.97,19.19,738.3782,-0.103145,0.031284,0.965459,6.304371,6.297419,106.246
92762.42,19.17,738.6054,-0.164668,0.024448,0.967412,6.57108,3.277311,107.1938
92761.77,19.17,738.6635,-0.197383,0.052769,0.965459,9.557237,3.25327,107.7097
92761.77,19.17,738.6635,-0.120234,0.056187,0.927373,9.655992,2.848146,108.3223
92761.37,19.16,738.7005,-0.002559,0.031772,0.962529,8.986647,3.088879,108.6063
92763.08,19.17,738.5472,-0.186641,0.074741,1.0221,9.463907,2.237536,108.853
92758.53,19.17,738.9542,-0.170527,0.001011,0.875615,10.28308,3.779109,110.4244
92763.53,19.18,738.505,-0.099727,0.118687,0.972295,8.126862,4.568659,112.2272
92759.02,19.19,738.9092,-0.03918,0.12064,0.939092,7.489908,3.38582,113.4665
92763.3,19.19,738.5261,-0.206172,0.048374,1.025518,6.096964,3.03762,114.1179
92768.23,19.19,738.0875,-0.065547,0.063999,1.049932,6.02424,4.432823,117.6991
92773.25,19.2,737.6357,-0.035273,0.199253,0.845342,5.962707,3.59831,118.8595
92769.64,19.2,737.9607,-0.097773,0.040073,1.000615,5.340155,2.334596,118.9583
92771.28,19.2,737.8127,-0.083125,0.115269,0.981572,3.970327,3.057532,119.0774
92773.31,19.21,737.6304,-0.040156,0.075229,1.008916,2.738132,3.50587,118.3352
92769.73,19.21,737.9501,-0.031367,0.105991,1.032842,0.622181,5.184636,120.3814
92772.69,19.21,737.6859,-0.026484,0.105503,0.974248,3.16393,5.541567,120.3019
92774.16,19.23,737.5564,-0.088984,0.015171,0.974248,4.867116,3.706386,122.0251
92771.77,19.22,737.7704,-0.075313,0.02689,1.024541,3.195382,1.592375,124.5475
92772.88,19.23,737.67,-0.053828,-0.019985,1.011846,2.997566,0.984821,128.5734
92771.3,19.24,737.8127,-0.044551,0.012241,1.043096,2.067118,1.414701,134.9401
92768.64,19.23,738.0479,-0.039668,-0.006802,0.952764,2.756923,0.640264,144.262
92768.67,19.24,738.0452,-0.026973,-0.000454,0.984014,1.555576,0.107894,154.3736
92770.7,19.24,737.8655,-0.043086,0.042515,1.011846,2.506615,2.808405,167.1845
92764.33,19.23,738.4337,0.092168,0.163608,0.962041,-0.416815,5.413175,181.7428
92768.41,19.24,738.069,0.116094,0.075229,0.976201,-5.278954,6.022886,196.8565
92772.05,19.25,737.744,0.13123,0.208042,0.997686,-8.021427,5.344166,213.2821
92764.81,19.25,738.3914,0.058477,0.251499,0.991826,-7.10322,5.556671,228.0023
92767.45,19.25,738.1562,0.024785,0.110874,1.047979,-5.076598,4.365875,238.6231
92767.45,19.25,738.1562,0.080449,0.071812,0.881475,-3.446784,3.80878,248.1015
92764.91,19.26,738.3834,0.071172,0.05814,1.103154,-4.924371,5.154018,249.1948
92770.17,19.26,737.9131,0.064336,0.19437,0.860967,-5.332322,9.075194,247.2744
92772.53,19.26,737.7017,0.357793,0.037632,1.075322,-2.850129,9.211843,245.6475
92772.53,19.26,737.7017,-0.046016,0.08939,0.92835,-1.56926,6.983745,242.5314
92768.98,19.27,738.0188,0.203496,0.129429,1.062139,-1.886766,6.548567,234.1296
92762.41,19.27,738.6054,0.018926,0.143101,0.903447,-4.263722,8.621135,227.1104
92761.75,19.27,738.6661,0.100957,0.124058,1.06751,-5.494087,9.170618,220.6825
92762.11,19.27,738.6318,0.275762,0.131382,0.966436,-10.58417,7.583297,212.8354
92765.78,19.28,738.3042,0.206914,0.186069,0.930303,-17.56224,10.2718,202.1266
92767.82,19.29,738.1219,0.503301,0.290073,0.864385,-26.12571,11.0095,199.0246
92762.59,19.29,738.5895,0.576055,0.234409,0.824346,-32.18051,12.50281,199.4963
92764.86,19.29,738.3861,0.442754,0.177769,0.882451,-24.71164,9.919862,204.8019
92763.7,19.3,738.4918,0.231328,0.165073,0.972783,-13.00145,6.806442,211.3899
92764.36,19.3,738.431,-0.016719,0.122104,0.985967,-2.618488,6.097531,216.1832
92763.38,19.31,738.5208,-0.225215,0.099644,0.940068,9.177453,6.132076,221.5318
92766.76,19.32,738.217,-0.357051,0.123081,0.920537,18.92551,6.550151,225.8615
92762.48,19.31,738.6001,-0.47375,0.135288,0.893193,23.66508,6.879118,227.3669
92765.44,19.32,738.3359,-0.345332,0.096226,0.907842,14.33241,4.412035,224.1135
92763.53,19.32,738.505,-0.196895,0.053745,0.92542,10.69651,0.654806,223.5396
92772.38,19.32,737.715,-0.133418,-0.145474,0.980107,7.634992,-9.24906,222.0712
92773.43,19.33,737.6198,-0.084102,-0.311489,0.935186,5.769962,-16.87524,221.6085
92774.15,19.33,737.5564,-0.059199,-0.357876,0.906377,3.432961,-22.64376,221.4323
92774.24,19.34,737.5485,-0.018672,-0.448696,0.952275,1.446949,-22.85564,222.3617
92781.21,19.35,736.9249,-0.05334,-0.22311,0.983037,2.30881,-12.46076,224.8588
92772.66,19.35,737.6912,-0.031855,0.060581,0.986455,1.85054,-1.157699,227.3842
92766.38,19.35,738.2513,-0.002559,0.184604,0.983037,0.901627,8.73901,230.4733
92759.89,19.36,738.8326,-0.029902,0.376499,0.938604,0.476669,16.50086,233.0747
